name,brand,claims_phone,claims_email,claims_web,mailing_address,notes
State Farm,State Farm,800-782-8332,,https://www.statefarm.com/claims/claim-center,One State Farm Plaza, Major national carrier
Allstate,Allstate,800-255-7828,,https://www.allstate.com/claims,, 24/7 claims
GEICO,GEICO,800-841-3000,,https://www.geico.com/claims/,, Auto-heavy; property via partners
Progressive,Progressive,800-776-4737,,https://www.progressive.com/claims/,, Auto + Property
USAA,USAA,800-531-8722,,https://www.usaa.com/inet/wc/insurance-claims,, Members only
Farmers,Farmers,800-435-7764,,https://www.farmers.com/claims/,, Property + Auto
Liberty Mutual,Liberty Mutual,800-290-8206,,https://www.libertymutual.com/claims,, National
Nationwide,Nationwide,800-421-3535,,https://www.nationwide.com/personal/insurance/claims/,, Property + Auto
Travelers,Travelers,800-252-4633,,https://www.travelers.com/claims,, Home/Auto/Business
American Family,American Family,800-692-6326,,https://www.amfam.com/claims,, Midwestern footprint
Chubb,Chubb,800-252-4670,,https://www.chubb.com/us-en/claims/,, High net worth
The Hartford,The Hartford,800-243-5860,,https://www.thehartford.com/claims,, Home/Auto/BI
Erie Insurance,Erie,800-367-3743,,https://www.erieinsurance.com/claims,, Regional
Auto-Owners,Auto-Owners,888-252-4626,,https://www.auto-owners.com/claims,, Independent agents
Safeco,Safeco,800-332-3226,,https://www.safeco.com/claims,, Liberty subsidiary
Cincinnati Insurance,Cincinnati,877-242-2544,,https://www.cinfin.com/claims,, Property/Commercial
MetLife Auto & Home,MetLife,800-854-6011,,https://www.metlife.com/claims/,, (now Farmers Group)
AIG,AIG,888-978-5371,,https://www.aig.com/claims,, Specialty
Hanover Insurance,Hanover,800-628-0250,,https://www.hanover.com/claims,, Regional
Hippo,Hippo,855-999-9746,claims@hippo.com,https://www.hippo.com/claims,, Insurtech
Lemonade,Lemonade,,help@lemonade.com,https://www.lemonade.com/claims,, App-based
Kin Insurance,Kin,855-216-7674,claims@kin.com,https://www.kin.com/claims,, Coastal markets
UPC Insurance,UPC,888-256-3378,,https://www.upcinsurance.com/claims,, FL legacy/transitioning
Citizens Property Insurance (FL),Citizens,866-411-2742,,https://www.citizensfla.com/claims,, Florida residual market
Texas Fair Plan,TWIA/Texas Fair Plan,800-979-6440,,https://www.texasfairplan.org/claims/,, Texas residual
TWIA (Texas Windstorm),TWIA,800-788-8247,,https://www.twia.org/claims/,, Gulf Coast wind
NFIP (FEMA Flood),NFIP,800-638-6620,,https://www.floodsmart.gov/how-do-i-start-my-flood-claim,, Flood claims via Write-Your-Own carriers
Pure Insurance,PURE,888-813-7873,membercare@pureinsurance.com,https://www.pureinsurance.com/claims,, High net worth
Assurant,Assurant,800-358-0600,,https://www.assurant.com/claims,, Specialty lender-placed
Foremost,Foremost,800-527-3907,,https://www.foremost.com/claims/,, Mobile home specialty

